,index,cap-diameter,stem-height,stem-width,edible-poisonous_new,does-bruise-or-bleed_new,has-ring_new,cap-shape_new,gill-attachment_new,ring-type_new,habitat_new,cap-color_new,gill-color_new,stem-color_new,season_new
23,23,4.19,6.64,9.11,0,0,0,5,3,1,0,11,2,12,0
24,24,8.36,7.6,15.28,0,0,1,2,1,1,0,5,10,6,3
25,25,1.61,3.92,2.59,1,0,0,6,0,1,1,4,7,11,0
26,26,5.53,5.86,14.12,0,1,0,6,6,1,0,11,11,11,0
27,27,11.21,8.43,15.04,1,1,1,5,1,1,0,7,7,8,2
28,28,6.53,4.53,13.05,0,0,1,6,2,3,7,5,5,11,2
29,29,11.16,10.33,29.11,1,0,0,6,0,1,0,5,10,11,2
30,30,0.76,3.63,0.95,1,0,0,6,0,1,0,7,5,4,2
31,31,1.23,1.31,2.33,1,0,0,6,1,1,0,5,5,6,0
32,32,9.81,6.49,18.89,0,0,0,6,6,1,0,4,10,11,2
33,33,3.0,6.58,3.3,0,0,0,0,6,1,0,5,4,11,3
34,34,4.69,9.16,7.39,1,0,1,6,0,7,0,11,11,12,2
35,35,7.88,5.68,15.54,1,1,0,6,5,1,0,8,8,6,2
36,36,7.27,5.5,11.75,0,1,0,6,4,1,0,1,11,1,0
37,37,5.45,5.1,9.0,1,0,0,2,1,1,0,2,11,6,3
38,38,3.33,4.41,2.45,1,0,0,6,1,1,1,10,7,11,2
39,39,4.44,5.78,20.41,0,0,0,3,3,1,0,5,2,6,1
40,40,3.61,4.11,6.28,0,0,0,6,0,1,1,6,6,7,0
41,41,9.63,6.13,15.65,1,1,0,2,1,1,0,5,5,6,0
42,42,12.08,6.55,16.83,1,0,0,6,5,1,0,2,7,6,0
43,43,4.63,3.68,12.39,1,0,0,6,2,1,0,10,3,12,0
44,44,7.73,6.42,14.65,1,0,0,5,6,1,0,11,11,12,0
45,45,8.68,7.14,34.6,0,0,0,2,5,1,4,10,10,11,2
46,46,6.61,5.91,9.75,0,0,0,2,5,1,4,5,10,6,0
47,47,1.25,4.98,2.25,1,0,0,6,5,1,1,5,4,6,2
48,48,3.59,4.89,29.12,1,0,1,3,3,1,0,10,2,11,0
49,49,12.86,6.83,25.68,0,1,0,5,1,1,0,10,11,11,2
50,50,10.56,4.92,24.05,1,1,0,5,1,1,1,2,5,6,0
51,51,1.91,8.84,2.94,1,0,0,2,5,1,1,11,11,12,2
52,52,2.27,6.03,6.24,0,0,0,5,3,1,0,5,2,12,0
53,53,3.23,5.51,9.75,1,0,1,6,5,7,0,5,7,11,2
54,54,4.57,8.89,6.23,1,0,1,0,6,1,1,5,4,11,3
55,55,11.2,8.44,22.98,0,1,0,6,4,1,0,5,11,6,0
56,56,3.46,4.95,3.34,0,0,0,0,6,1,1,10,10,12,2
57,57,3.97,4.64,3.08,0,0,0,0,6,1,1,10,10,12,0
58,58,10.38,5.77,13.84,1,1,1,5,1,1,0,6,6,11,2
59,59,2.89,7.4,5.07,0,0,0,6,2,1,0,0,9,11,3
60,60,2.73,0.0,0.0,1,0,0,3,3,1,0,2,2,2,0
61,61,9.92,11.47,12.73,1,0,1,6,0,1,0,5,11,6,2
62,62,9.89,5.77,16.53,0,1,0,5,1,1,0,10,6,11,0
63,63,5.05,5.81,11.16,0,0,1,6,2,2,0,11,10,12,0
64,64,6.78,6.28,13.37,0,0,1,6,2,2,0,10,10,12,2
65,65,14.52,22.93,21.12,0,0,1,4,1,4,4,5,10,6,0
66,66,9.66,5.16,22.17,0,0,1,2,2,1,0,0,0,11,0
67,67,6.26,5.16,10.52,0,0,0,6,2,1,0,5,10,6,2
68,68,2.51,2.61,6.32,1,0,0,2,1,1,1,10,10,11,0
69,69,7.17,11.72,24.14,0,1,0,6,4,1,0,2,3,11,2
70,70,3.65,9.44,4.95,1,0,1,0,1,1,1,5,4,11,2
71,71,4.98,3.82,7.28,0,0,0,6,5,1,0,5,11,11,0
72,72,2.77,3.59,14.36,1,0,0,3,3,1,0,2,2,6,0
73,73,6.53,7.89,8.52,1,0,1,6,0,7,1,11,5,6,2
74,74,4.71,4.14,5.29,1,0,1,6,0,7,0,5,5,6,3
75,75,12.38,10.92,15.66,1,0,1,2,2,2,0,2,10,11,0
76,76,4.76,4.71,11.73,1,1,0,1,6,1,1,11,8,11,1
77,77,1.75,2.17,6.4,0,0,0,6,0,1,0,11,11,11,0
78,78,3.91,0.0,0.0,1,0,1,3,3,1,0,2,2,2,2
79,79,4.05,4.84,6.02,0,1,0,2,1,1,0,7,7,3,2
80,80,6.35,6.42,11.44,1,0,0,6,1,1,0,2,11,6,0
81,81,6.34,5.37,9.52,1,0,0,6,1,1,0,5,11,6,0
82,82,9.12,10.29,11.72,1,0,0,6,6,1,0,5,10,11,2
83,83,7.96,15.22,17.68,1,0,0,4,6,1,0,10,4,11,0
84,84,5.25,6.2,7.77,1,0,0,6,0,1,1,11,11,7,0
85,85,6.85,6.18,11.06,0,0,0,0,5,1,0,3,10,3,2
86,86,11.37,6.37,18.54,0,1,0,5,1,1,0,6,6,11,2
87,87,4.94,5.63,7.32,1,0,1,6,5,0,1,8,9,11,2
88,88,10.46,11.0,13.51,1,0,1,6,2,5,0,8,10,11,0
89,89,8.6,7.69,19.5,0,0,0,2,5,1,0,9,9,10,0
90,90,3.02,6.65,7.9,0,0,0,5,3,1,0,11,2,7,0
91,91,3.91,4.69,11.52,1,1,0,1,6,1,0,11,8,11,1
92,92,9.96,8.26,15.46,0,0,1,6,4,1,0,11,11,12,0
93,93,4.52,6.57,5.18,1,0,0,2,6,1,0,11,5,12,2
94,94,3.17,0.0,0.0,1,0,0,3,3,1,0,2,2,2,3
95,95,2.65,3.46,3.46,1,0,0,2,0,1,5,9,5,11,0
96,96,8.39,4.78,10.51,1,0,0,2,5,1,0,7,7,8,0
97,97,1.62,4.99,2.55,1,0,0,6,0,1,1,5,4,6,2
98,98,7.13,9.16,9.54,1,0,1,6,0,1,0,5,11,12,2
99,99,10.32,4.64,24.84,0,1,0,5,1,1,0,10,7,11,0
100,100,16.17,9.97,17.62,0,1,1,2,2,3,4,5,3,11,0
101,101,7.88,10.5,15.45,1,0,1,2,1,2,0,8,10,11,0
102,102,1.89,3.61,2.4,1,0,0,2,0,1,1,4,10,11,2
103,103,7.5,6.3,5.97,0,0,1,6,0,3,0,2,5,3,3
104,104,4.31,6.91,4.94,0,0,0,2,0,1,0,5,11,7,3
105,105,3.88,10.1,5.94,1,0,1,0,5,1,1,5,4,11,2
106,106,11.05,6.48,17.32,0,1,0,5,1,1,0,6,6,11,0
107,107,2.78,3.59,4.11,1,0,0,6,4,1,0,1,1,1,0
108,108,4.48,8.38,10.5,0,0,1,6,6,1,0,5,5,11,1
109,109,1.46,5.05,1.43,0,0,0,1,0,1,0,5,3,3,0
110,110,1.17,4.86,1.4,0,0,0,1,0,1,3,5,3,3,0
111,111,4.46,6.36,6.2,1,0,0,0,6,1,0,5,7,3,0
112,112,18.95,4.69,38.35,1,0,0,6,4,1,0,6,11,6,3
113,113,2.89,3.87,2.48,1,0,0,5,0,1,1,10,10,11,0
114,114,1.75,4.95,2.54,0,0,0,2,1,1,1,2,3,11,1
115,115,2.93,0.0,0.0,1,0,0,3,3,1,0,2,2,2,0
116,116,3.45,4.94,6.37,0,1,0,2,1,1,0,7,7,6,0
117,117,8.02,8.05,14.36,1,1,1,5,1,1,0,7,7,8,2
118,118,2.77,2.68,2.23,1,0,0,6,0,1,1,10,10,11,2
119,119,4.26,4.85,10.12,0,0,0,6,4,1,0,6,5,6,2
120,120,2.53,7.46,2.42,1,0,0,6,0,1,0,1,7,11,0
121,121,7.61,7.52,30.28,0,0,0,6,5,1,0,10,10,11,1
122,122,3.29,3.34,5.74,0,0,0,6,1,1,1,10,10,11,3
123,123,9.2,8.71,26.49,1,0,0,6,0,1,0,5,10,11,2
124,124,12.8,7.15,16.97,1,0,0,6,5,1,0,11,7,6,0
125,125,16.04,7.9,25.51,0,0,0,2,0,1,0,10,4,11,2
126,126,4.85,6.69,8.1,1,0,1,6,5,0,4,8,5,5,0
127,127,3.99,5.46,29.02,1,0,1,3,3,1,0,10,2,11,2
128,128,3.84,5.14,3.62,1,0,1,2,2,0,0,10,5,11,0
129,129,10.72,9.01,27.32,1,1,0,6,4,1,0,11,1,1,0
130,130,6.04,5.77,8.49,1,1,0,5,1,1,0,1,10,6,0
131,131,1.48,5.44,1.74,0,0,0,6,0,1,2,5,10,12,2
132,132,1.61,5.17,2.45,1,0,0,6,6,1,1,5,4,6,0
133,133,7.9,10.84,16.33,1,0,1,6,6,2,0,8,10,11,0
134,134,5.3,5.29,6.4,1,0,1,2,1,1,0,5,5,12,0
135,135,2.24,5.46,2.84,1,0,0,0,6,1,1,11,5,6,1
136,136,2.71,4.07,3.73,1,0,0,2,0,1,0,9,5,10,0
137,137,6.94,8.07,7.99,1,0,1,6,0,7,1,5,4,6,2
138,138,4.71,6.44,8.04,1,0,0,6,0,1,1,6,11,7,0
139,139,3.63,5.23,30.64,1,0,1,3,3,1,5,10,2,11,0
140,140,5.01,7.44,8.27,0,0,1,6,6,1,1,5,10,11,2
141,141,3.53,5.98,3.62,1,0,1,6,0,6,1,5,10,6,2
142,142,7.48,6.69,14.25,0,0,0,6,0,1,1,2,10,3,0
143,143,5.69,7.37,13.17,0,1,0,6,4,1,0,5,11,12,0
144,144,5.3,7.0,12.83,1,1,0,1,6,1,0,11,8,11,0
145,145,3.43,6.52,5.77,1,0,1,0,0,1,1,5,5,11,3
146,146,4.44,6.36,8.85,0,0,0,2,1,1,0,5,6,7,3
147,147,8.51,10.13,11.88,0,0,0,2,5,1,0,6,11,7,0
148,148,6.11,2.99,5.75,1,0,0,5,1,1,0,6,11,12,0
149,149,3.8,5.34,3.54,1,0,1,0,2,0,0,1,10,11,0
150,150,18.19,16.8,35.34,0,0,0,6,4,1,0,1,10,11,0
151,151,6.7,19.34,13.82,0,0,1,2,2,0,0,10,4,11,1
152,152,15.0,18.12,17.13,1,0,1,6,2,2,0,1,10,11,3
153,153,6.4,5.12,8.14,0,0,0,5,1,1,3,5,10,11,0
154,154,5.75,5.15,8.21,0,0,0,2,5,1,0,5,11,11,2
155,155,5.09,6.59,8.05,0,0,0,6,1,1,3,4,8,11,0
156,156,3.36,3.31,2.62,1,0,0,6,1,1,1,10,7,11,2
157,157,7.15,11.77,24.53,0,1,0,6,4,1,0,5,3,11,0
158,158,5.97,5.06,12.95,1,0,0,2,5,1,0,11,11,12,0
159,159,6.64,9.01,10.35,1,0,1,6,0,7,0,1,5,6,0
160,160,2.17,2.92,5.62,1,0,0,6,0,1,2,6,11,12,0
161,161,3.59,5.55,8.82,1,0,1,6,5,7,0,5,5,11,0
162,162,4.27,6.87,7.67,1,0,1,6,5,0,0,4,9,5,0
163,163,6.94,3.29,7.99,0,0,0,5,1,1,1,10,10,11,2
164,164,4.4,10.05,5.71,1,0,1,0,0,1,1,5,5,11,2
165,165,1.67,4.61,2.3,1,0,0,6,6,1,1,5,4,6,2
166,166,0.81,4.31,0.99,1,0,0,6,1,1,1,6,6,12,2
167,167,9.04,8.71,19.59,1,1,0,6,6,1,0,5,9,6,0
168,168,21.94,6.96,40.85,1,0,0,6,4,1,0,5,11,6,0
169,169,21.79,5.48,35.33,1,0,0,5,1,1,0,5,11,6,2
170,170,8.35,7.06,18.35,1,0,0,6,6,1,0,1,10,11,2
171,171,4.03,4.95,3.36,1,0,0,2,6,1,3,5,10,6,2
172,172,2.05,5.26,2.04,1,0,0,0,0,1,0,2,3,3,0
173,173,1.71,5.09,2.54,1,0,0,0,6,1,4,11,5,6,1
174,174,7.85,5.88,7.94,1,0,0,6,5,1,0,5,3,6,0
175,175,7.12,9.77,9.52,1,0,1,6,0,1,0,5,11,6,2
176,176,7.99,8.45,13.61,0,0,0,4,0,1,1,5,10,11,2
177,177,1.41,5.21,2.53,1,0,0,6,5,1,1,5,4,6,2
178,178,6.33,4.31,12.17,1,0,0,5,6,1,0,5,11,12,0
179,179,2.53,4.9,5.37,1,0,0,2,0,1,0,8,8,9,0
180,180,2.36,2.77,5.59,1,0,0,6,1,1,4,6,6,12,0
181,181,5.81,7.19,13.68,1,0,1,4,2,5,0,5,10,11,0
182,182,8.37,7.16,10.29,1,1,0,5,1,1,0,1,11,6,0
183,183,0.72,3.66,0.78,1,0,0,6,4,1,0,11,11,12,0
184,184,15.98,17.13,74.5,0,0,0,6,4,1,0,5,11,6,2
185,185,13.65,10.04,17.64,0,1,1,2,2,3,4,10,3,11,0
186,186,11.92,5.26,25.81,1,1,0,6,1,1,3,2,10,6,0
187,187,3.64,4.56,6.61,0,0,0,6,0,1,1,7,6,1,2
188,188,2.04,4.52,2.86,0,0,0,5,0,1,2,5,7,6,2
189,189,7.63,10.71,9.04,1,0,1,6,0,1,0,5,11,12,0
190,190,0.64,3.33,0.62,1,0,0,6,0,1,0,6,11,12,2
191,191,9.53,10.57,12.34,1,0,0,2,6,1,0,10,10,11,2
192,192,3.98,6.02,5.51,1,0,0,5,0,1,0,9,9,10,0
193,193,9.59,11.45,17.82,1,0,1,6,4,5,0,8,10,11,2
194,194,12.95,8.39,23.97,0,0,0,5,6,1,0,9,5,11,2
195,195,10.42,19.98,12.88,0,0,1,2,2,0,1,10,10,11,3
196,196,10.68,6.69,27.44,1,1,0,6,4,1,0,5,1,1,0
197,197,4.23,6.87,3.97,0,0,0,0,0,1,0,2,3,3,1
198,198,4.25,4.84,3.46,0,0,0,0,6,1,1,5,10,12,0
199,199,1.81,0.0,0.0,1,0,1,3,3,1,0,8,2,2,3
200,200,7.6,12.05,25.57,0,1,0,6,4,1,0,2,3,11,0
201,201,10.04,6.58,17.22,0,1,0,5,1,1,0,10,6,11,0
202,202,7.07,6.06,8.97,1,0,0,2,6,1,0,8,5,11,2
203,203,3.85,4.44,7.79,1,0,0,5,0,1,0,9,10,12,0
204,204,1.5,2.21,2.24,1,0,0,6,0,1,1,4,7,11,0
205,205,2.83,6.51,2.83,0,0,0,0,5,1,0,5,4,11,0
206,206,10.96,9.52,15.18,0,0,1,6,1,1,0,1,10,6,0
207,207,6.16,3.27,8.41,0,0,0,5,1,1,1,10,7,11,0
208,208,8.11,6.89,13.8,0,0,1,6,2,2,0,11,10,12,0
209,209,9.98,4.91,20.84,0,0,1,2,5,1,0,0,0,11,0
210,210,4.39,6.35,4.7,1,0,0,0,6,1,4,5,7,6,2
211,211,7.13,12.54,24.0,0,1,0,6,4,1,0,5,3,11,2
212,212,19.66,17.27,36.43,0,0,0,4,4,1,0,5,5,11,2
213,213,2.78,4.96,6.38,1,0,1,6,5,7,0,5,7,11,0
214,214,14.61,9.08,26.48,0,0,0,2,0,1,0,5,10,11,3
215,215,10.85,2.37,14.57,0,0,0,2,1,1,0,10,11,11,3
216,216,10.18,4.09,17.69,0,0,0,6,0,1,0,3,11,11,3
217,217,9.05,8.99,18.68,1,1,0,6,6,1,0,5,9,10,0
218,218,7.33,8.69,11.54,1,0,1,6,0,7,0,1,5,6,0
219,219,4.29,0.0,0.0,1,0,0,3,4,1,0,10,10,2,2
220,220,2.09,3.43,3.48,1,0,0,2,0,1,5,10,5,11,0
221,221,3.61,4.21,10.0,0,0,0,6,4,1,0,5,1,12,0
222,222,6.21,5.91,6.64,1,1,0,5,1,1,0,1,7,1,2
223,223,7.95,5.31,10.56,1,0,0,6,5,1,0,7,7,8,0
224,224,20.97,4.98,42.21,1,0,0,2,4,1,0,3,11,6,3
225,225,11.53,6.73,23.14,0,0,0,5,6,1,0,9,5,8,2
226,226,2.4,7.74,2.64,1,0,0,6,0,1,0,5,7,11,0
227,227,7.76,6.49,18.17,1,0,0,2,6,1,0,1,10,11,0
228,228,6.29,6.09,10.51,0,0,0,2,5,1,1,5,10,6,2
229,229,11.53,10.32,16.41,0,1,1,6,5,2,0,5,10,11,2
230,230,7.35,6.32,16.43,0,0,0,6,0,1,0,11,10,11,0
231,231,11.34,6.8,25.09,0,0,1,6,0,0,0,11,10,6,3
232,232,1.41,5.27,1.46,0,0,0,1,0,1,3,5,10,3,2
233,233,2.85,4.15,4.49,1,0,0,2,0,1,0,9,9,10,2
234,234,1.78,5.99,3.24,1,0,0,0,2,1,0,5,5,6,2
235,235,6.17,8.2,9.84,1,0,1,6,0,7,0,1,5,1,0
236,236,5.18,6.65,7.46,1,0,0,1,2,1,0,11,5,11,2
237,237,8.54,9.91,14.37,0,0,0,2,5,1,0,6,5,6,0
238,238,6.32,6.11,9.68,1,0,0,6,1,1,3,5,11,6,3
239,239,12.19,8.01,29.75,1,1,0,6,4,1,0,5,6,1,0
240,240,13.09,10.25,30.89,1,0,0,6,0,1,0,5,10,11,0
241,241,3.73,6.49,7.88,0,0,0,6,1,1,0,5,6,7,3
242,242,7.49,4.52,13.38,1,1,0,5,1,1,0,5,3,9,2
243,243,5.34,2.47,4.28,1,0,1,5,4,1,0,11,5,6,2
244,244,3.03,3.84,2.68,1,0,0,2,6,1,0,5,11,6,0
245,245,9.2,11.23,17.24,1,0,1,2,1,2,0,8,10,11,0
246,246,5.23,3.11,11.93,1,0,0,6,1,1,0,7,3,12,0
247,247,7.66,6.45,14.67,0,0,0,6,6,1,0,11,10,11,2
248,248,6.82,7.8,8.96,1,1,0,6,1,1,0,1,5,6,0
249,249,6.05,3.83,6.65,1,0,0,5,1,1,0,11,11,12,2
250,250,4.3,5.43,12.5,0,0,0,6,4,1,0,5,5,6,2
251,251,1.79,2.95,5.54,1,0,0,6,1,1,2,6,11,12,0
252,252,0.74,3.47,0.69,1,0,0,6,4,1,0,6,11,11,2
253,253,6.38,8.41,9.13,1,1,0,6,1,1,0,5,5,6,0
254,254,2.29,6.93,3.31,1,0,0,6,6,1,3,10,7,6,2
255,255,23.15,5.25,33.34,1,0,0,2,4,1,0,6,11,6,0
256,256,0.96,4.24,2.71,1,0,1,0,2,1,4,11,4,6,0
257,257,49.57,5.71,34.8,0,0,0,3,4,1,0,11,11,4,2
258,258,3.98,4.01,2.98,0,0,0,0,6,1,1,5,10,12,2
259,259,5.87,10.98,24.61,0,1,0,6,4,1,0,2,3,11,0
260,260,3.13,6.12,7.11,0,0,0,5,3,1,0,5,2,12,0
261,261,5.93,5.18,12.66,0,0,0,2,1,1,0,6,0,11,0
262,262,7.79,14.56,7.33,1,0,0,6,6,1,0,5,10,6,0
263,263,7.07,4.73,12.86,0,0,1,6,2,6,7,5,5,11,2
264,264,0.67,4.62,1.07,1,0,0,2,1,1,1,6,6,7,0
265,265,4.04,0.0,0.0,1,0,1,3,3,1,0,11,2,2,2
266,266,3.47,3.72,6.82,0,0,0,2,1,1,1,10,10,11,3
267,267,4.5,5.49,4.97,0,0,0,2,0,1,0,5,11,6,3
268,268,7.68,6.8,13.86,0,0,0,2,1,1,0,6,6,11,3
269,269,10.85,11.07,34.56,1,0,0,4,4,1,0,5,10,6,2
270,270,3.64,4.86,6.33,0,1,0,2,1,1,0,9,7,6,0
271,271,4.07,5.81,3.82,1,0,1,6,0,6,2,11,10,6,2
272,272,8.02,8.69,15.22,1,1,1,6,1,3,1,10,3,11,2
273,273,5.68,4.82,13.12,1,0,0,6,5,1,0,11,11,12,0
274,274,10.1,6.09,25.72,0,1,0,5,1,1,0,10,10,11,0
275,275,3.12,7.76,7.64,1,0,1,0,2,7,0,11,4,12,1
276,276,9.59,4.56,24.12,1,1,0,5,1,1,1,3,0,3,0
277,277,9.28,4.72,13.55,1,1,0,5,1,1,0,2,10,6,2
278,278,0.6,3.23,0.61,1,0,0,6,6,1,0,11,11,11,2
279,279,6.28,4.26,13.91,0,0,0,2,0,1,0,9,10,11,2
280,280,7.2,6.54,17.55,0,0,0,6,6,1,0,5,10,11,2
281,281,5.64,6.58,16.37,0,0,0,5,3,1,0,11,2,12,0
282,282,6.39,3.62,8.34,1,0,0,2,5,1,0,7,7,8,3
283,283,6.96,4.74,15.73,0,0,0,2,3,1,0,11,2,12,2
284,284,5.61,5.28,5.5,1,1,0,5,1,1,0,1,0,1,2
285,285,3.68,5.19,3.31,0,0,0,0,6,1,1,5,10,12,2
286,286,7.03,5.62,12.69,0,0,0,6,4,1,0,5,11,6,2
287,287,8.59,10.96,14.51,1,0,1,2,2,5,0,8,10,11,0
288,288,8.46,9.4,19.57,1,1,0,6,6,1,0,2,5,10,0
289,289,7.25,9.27,69.15,0,0,0,5,3,1,0,5,2,6,3
290,290,7.38,13.85,12.91,1,0,1,0,2,3,0,10,10,11,0
291,291,7.81,1.65,13.78,1,0,0,3,4,1,0,5,6,6,0
292,292,4.42,5.06,19.83,0,0,0,4,3,1,0,2,2,6,1
293,293,3.04,4.29,5.63,1,0,0,6,4,1,0,1,1,1,0
294,294,7.73,6.51,10.31,0,0,0,2,5,1,4,5,10,11,2
295,295,7.92,8.42,14.27,0,0,0,4,0,1,0,2,10,3,2
296,296,9.85,23.73,12.74,0,0,1,2,2,0,6,10,4,11,0
297,297,2.55,3.67,3.59,1,0,0,1,0,1,0,10,5,11,0
298,298,5.55,4.87,11.2,1,0,0,6,5,1,0,11,11,12,0
299,299,1.55,4.48,1.52,0,0,0,1,0,1,0,5,10,3,0
300,300,9.94,7.38,12.94,0,0,0,6,4,1,0,5,11,6,0
301,301,8.75,10.22,29.51,1,0,0,6,0,1,0,5,10,11,0
302,302,12.24,11.12,14.93,1,0,1,2,2,0,0,5,10,11,2
303,303,6.96,7.23,6.02,0,0,1,6,0,3,0,2,5,11,2
304,304,14.28,8.29,25.95,1,1,0,6,4,1,0,5,1,12,2
305,305,10.23,9.41,18.5,0,1,1,4,2,3,3,5,7,11,0
306,306,0.69,3.95,1.02,1,0,0,6,0,1,0,1,5,4,1
307,307,4.4,4.65,5.65,1,0,1,6,0,7,0,5,5,7,3
308,308,4.51,3.27,6.07,1,0,0,5,1,1,0,11,11,12,2
309,309,10.13,8.47,25.39,0,0,0,5,6,1,0,5,5,8,2
310,310,8.13,7.85,17.6,0,1,0,6,6,1,0,11,11,11,2
311,311,5.5,5.79,6.25,0,0,1,6,6,6,0,5,10,6,2
312,312,7.66,15.12,17.13,1,0,0,0,4,1,0,5,7,11,0
313,313,6.01,6.34,8.7,1,1,0,5,1,1,0,1,10,6,0
314,314,8.06,4.76,12.25,0,0,1,2,2,3,7,5,5,11,0
315,315,1.84,4.92,1.51,1,0,0,3,1,1,0,5,5,6,3
316,316,5.14,6.49,8.95,0,0,0,2,6,1,3,5,10,6,0
317,317,1.25,1.75,2.28,1,0,0,6,1,1,2,5,5,6,2
318,318,8.32,17.07,18.22,1,0,0,0,0,1,0,10,7,11,0
319,319,8.16,6.26,18.97,1,0,0,2,6,1,0,1,10,11,2
320,320,4.84,6.1,12.22,0,0,0,6,4,1,0,6,5,6,2
321,321,8.52,6.4,10.16,1,1,0,2,1,1,0,1,10,1,0
322,322,11.31,11.92,17.81,0,1,1,6,6,2,0,5,10,11,0
323,323,1.51,5.68,1.74,0,0,0,6,1,1,0,11,10,12,0
324,324,15.08,4.87,25.73,1,1,0,2,1,1,0,10,5,11,3
325,325,5.58,4.31,6.93,0,0,0,6,5,1,0,5,11,11,2
326,326,4.41,5.22,6.94,1,0,0,6,0,1,0,1,1,1,0
327,327,13.55,20.64,18.86,0,0,1,4,0,4,0,10,10,6,0
328,328,2.36,8.07,3.1,1,0,0,2,5,1,1,5,5,12,0
329,329,4.64,4.59,12.88,1,0,0,6,5,1,0,11,11,12,0
330,330,13.17,6.02,43.81,1,0,0,2,4,1,0,5,11,6,0
331,331,7.92,4.11,24.45,0,0,0,3,0,1,0,5,10,6,0
332,332,3.68,4.37,9.65,0,0,0,6,4,1,0,5,11,6,0
333,333,9.48,4.94,20.36,0,0,1,2,6,1,0,0,0,11,0
334,334,2.69,4.14,4.46,1,0,0,0,0,1,1,11,8,12,0
335,335,7.34,7.04,19.69,0,0,0,5,5,1,0,2,3,10,0
336,336,3.25,3.38,15.2,1,0,0,3,3,1,0,2,2,6,0
337,337,1.1,3.37,1.67,1,0,0,6,0,1,0,10,10,1,2
338,338,10.84,7.95,24.27,0,0,0,2,6,1,0,11,5,11,3
339,339,6.95,7.01,13.82,0,1,0,6,6,1,0,11,11,11,2
340,340,2.73,3.01,3.25,1,0,0,2,0,1,5,9,10,10,0
341,341,5.24,4.99,14.48,0,0,0,2,3,1,0,11,2,12,0
342,342,9.38,9.43,17.31,1,1,1,6,5,3,0,10,3,11,0
343,343,11.58,5.69,17.66,0,1,0,5,1,1,0,7,6,11,0
344,344,4.67,5.73,3.2,0,0,0,2,0,1,0,2,3,6,3
345,345,0.9,5.31,0.98,0,1,0,6,0,1,0,1,10,6,0
346,346,9.27,8.87,14.56,1,1,1,5,1,1,0,7,7,8,2
347,347,7.64,4.84,17.32,0,0,1,2,6,1,0,0,0,11,0
348,348,7.65,9.33,17.96,1,1,0,6,6,1,0,2,9,3,0
349,349,4.86,5.16,10.03,0,0,0,6,4,1,0,5,5,1,0
350,350,5.8,6.38,15.46,0,0,0,5,0,1,0,11,10,3,2
351,351,1.59,1.92,2.61,1,0,0,6,1,1,2,5,5,6,0
352,352,10.89,5.77,14.9,1,1,0,6,4,1,0,11,6,10,2
353,353,2.16,5.5,2.75,1,0,0,0,6,1,0,10,5,6,1
354,354,2.54,7.75,4.3,1,0,0,6,6,1,3,10,7,8,0
355,355,2.57,2.72,5.79,1,0,0,6,0,1,4,6,11,12,0
356,356,2.81,2.58,5.28,1,1,0,5,1,1,0,6,5,6,0
357,357,3.42,5.0,6.85,0,0,0,6,0,1,4,6,6,1,3
358,358,1.34,4.56,2.2,0,0,0,6,6,1,1,2,3,11,0
359,359,6.25,5.25,9.86,1,0,0,6,1,1,3,5,10,6,3
360,360,10.55,11.91,17.52,0,1,1,4,2,6,4,5,5,11,0
361,361,1.07,2.46,1.31,1,0,0,6,0,1,3,10,10,1,0
